n_train,feature,importance_mean
500,ASA,-0.0004483160199470282
2000,ASA,0.005569084565596132
10000,ASA,0.01577853200449446
210995,ASA,0.02578336116128687
500,AVA,0.019117016872082913
2000,AVA,0.030234942788874127
10000,AVA,0.005875356103556993
210995,AVA,0.016561453346951204
500,AVAf,0.1889496095112545
2000,AVAf,0.18897279556951765
10000,AVAf,0.2026079712884751
210995,AVAf,0.2857174238097352
500,Density,0.019623216830734834
2000,Density,0.018554089141069326
10000,Density,0.044503718525540886
210995,Density,0.13560158454502097
500,Df,0.004412574580391868
2000,Df,0.004422105817249056
10000,Df,0.0078040107007377665
210995,Df,0.036045064570545834
500,Di,0.0014807490858597138
2000,Di,0.002313089262957064
10000,Di,0.007461925476916124
210995,Di,0.0197107510888416
500,Dif,0.0032771947956583337
2000,Dif,0.008448797151091859
10000,Dif,0.01419755399379737
210995,Dif,0.015435271741304296
500,NASA,0.0005769204372435577
2000,NASA,0.0020990563138313136
10000,NASA,0.001495802216297346
210995,NASA,0.00843648934343
500,POAVA,-0.0009812912181169663
2000,POAVA,0.00404955142511733
10000,POAVA,0.010452747568770245
210995,POAVA,0.02768010803114057
500,UC_volume,0.00469231545952669
2000,UC_volume,0.00985430087594916
10000,UC_volume,0.021301620750223314
210995,UC_volume,0.10270982225258789
500,cavity_window_gap,0.00283658931389821
2000,cavity_window_gap,0.003905242411975074
10000,cavity_window_gap,0.005085362892648752
210995,cavity_window_gap,0.014234662472332441
500,lcd_pld_ratio,1.8542935974474873e-07
2000,lcd_pld_ratio,0.0017987787136528135
10000,lcd_pld_ratio,0.005366597056078115
210995,lcd_pld_ratio,0.022732438624764695
500,log_lcd_plus1,0.0024814492488236194
2000,log_lcd_plus1,0.002755609299421342
10000,log_lcd_plus1,0.007980545639371773
210995,log_lcd_plus1,0.020072161061715454
500,log_pld_plus1,0.002826644294675449
2000,log_pld_plus1,0.004530431123545577
10000,log_pld_plus1,0.007518680662057212
210995,log_pld_plus1,0.034714639249108906
500,sa_pv_ratio,0.006578894731280085
2000,sa_pv_ratio,0.009789215983739526
10000,sa_pv_ratio,0.014616556741037132
210995,sa_pv_ratio,0.021524298177605587
500,topology_label___OTHER__,0.08506682796010803
2000,topology_label___OTHER__,0.134407665748142
10000,topology_label___OTHER__,0.16203815317731662
210995,topology_label___OTHER__,0.24199007412031284
500,vASA,0.004671984402709908
2000,vASA,0.009871216001481475
10000,vASA,0.028272776603602286
210995,vASA,0.06795728408445471
500,vf_density_ratio,0.059145413487312906
2000,vf_density_ratio,0.17377036595930767
10000,vf_density_ratio,0.34471044515582994
210995,vf_density_ratio,0.4088099850054768
