method_label,descriptor_family,model_name,rmse_mean,r2_mean,spearman_mean,rmse_rank,r2_rank,spearman_rank,top1_consensus_probability,screening_topk_overlap_mean,aggregate_rank_score,plot_x,plot_y
geometry_plus_topology | rf,geometry_plus_topology,rf,0.4432913592101097,0.8041674966911865,0.9113194474160918,1.0,1.0,1.0,1.0,0.6549488054607508,1.0,0.4417913592101097,0.9131194474160919
geometry_plus_topology | hgb,geometry_plus_topology,hgb,0.49018717767923803,0.7605413172408092,0.8890064015215104,2.0,2.0,4.0,1.0,0.614069017823284,2.6666666666666665,0.49168717767923803,0.8872064015215104
geometry_plus_topology | mlp,geometry_plus_topology,mlp,0.49297875088712306,0.757800648908524,0.8970194064376198,3.0,3.0,2.0,1.0,0.5921880925293894,2.6666666666666665,0.49697875088712307,0.8970194064376198
enriched_interpretable | rf,enriched_interpretable,rf,0.49391287423077557,0.7568876951869591,0.8954681639495456,4.0,4.0,3.0,1.0,0.6059537353052711,3.6666666666666665,0.49241287423077557,0.8972681639495457
geometry_only | rf,geometry_only,rf,0.5285459569863329,0.7215983962104164,0.8846653271086968,5.0,5.0,5.0,1.0,0.561433447098976,5.0,0.5270459569863329,0.8864653271086969
enriched_interpretable | hgb,enriched_interpretable,hgb,0.5382607983719478,0.7112700237234089,0.8692229820512395,6.0,6.0,7.0,1.0,0.582062950322336,6.333333333333333,0.5397607983719478,0.8674229820512395
enriched_interpretable | mlp,enriched_interpretable,mlp,0.5547718387352312,0.6932733273939394,0.8727778510251705,7.0,7.0,6.0,1.0,0.5446340538490709,6.666666666666667,0.5587718387352312,0.8727778510251705
geometry_only | hgb,geometry_only,hgb,0.5689421913043347,0.6774160999096961,0.8616482193565835,8.0,8.0,9.0,1.0,0.5340159271899886,8.333333333333334,0.5704421913043346,0.8598482193565835
geometry_only | mlp,geometry_only,mlp,0.5798232911064112,0.6649437383339748,0.8659833045738171,9.0,9.0,8.0,1.0,0.5158513462267729,8.666666666666666,0.5838232911064112,0.8659833045738171
geometry_plus_topology | ridge,geometry_plus_topology,ridge,0.6392392505745829,0.5927763577927401,0.8361980352417285,10.0,10.0,10.0,1.0,0.4031095942358741,10.0,0.6352392505745829,0.8361980352417285
enriched_interpretable | ridge,enriched_interpretable,ridge,0.703022237261661,0.5074568978637275,0.8069138173709055,11.0,11.0,11.0,1.0,0.2942737959802807,11.0,0.699022237261661,0.8069138173709055
geometry_only | ridge,geometry_only,ridge,0.7437695381752552,0.44870647533742325,0.7951658469758897,12.0,12.0,12.0,1.0,0.1770951839211225,12.0,0.7397695381752551,0.7951658469758897
topology_only | ridge,topology_only,ridge,0.7859789429761779,0.384358427589844,0.6531223870476428,13.0,13.0,14.0,1.0,0.20515737580583998,13.333333333333334,0.7819789429761779,0.6531223870476428
topology_only | hgb,topology_only,hgb,0.7859943782136263,0.3843342469506432,0.6533828069141211,14.0,14.0,13.0,1.0,0.20481607887751233,13.666666666666666,0.7874943782136262,0.6515828069141211
topology_only | mlp,topology_only,mlp,0.7862229620512976,0.3839760704779909,0.6524194462254103,15.0,15.0,15.0,1.0,0.20599165718619644,15.0,0.7902229620512976,0.6524194462254103
topology_only | rf,topology_only,rf,0.7867793887747765,0.38310384227943806,0.6524178067852656,16.0,16.0,16.0,1.0,0.20561243837694348,16.0,0.7852793887747765,0.6542178067852656
