suite_name,target_col,test_seed,n_train,best_method_label,best_rmse_mean,second_best_method_label,top2_rmse_ci_overlap,top1_consensus_probability,mean_rank_spearman_vs_full,topk_overlap_frac_0p050_std_best,elite_enrichment_0p050_std_best,conditions_met_here
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,geometry_plus_topology | rf,0.201011846195738,enriched_interpretable | rf,True,1.0,0.8047058823529412,0.0211742010150661,0.4235562871989847,False
primary,uptake(mmol/g) CO2 at 0.015 bar,17,1000,geometry_plus_topology | rf,0.1993372283733527,enriched_interpretable | rf,True,0.8,0.7317647058823529,0.0201817813350634,0.4037045065010471,False
primary,uptake(mmol/g) CO2 at 0.015 bar,17,2000,geometry_plus_topology | rf,0.1920639354314159,geometry_plus_topology | hgb,False,0.8,0.8411764705882353,0.0201028894751321,0.4021264000469264,False
primary,uptake(mmol/g) CO2 at 0.015 bar,17,5000,geometry_plus_topology | rf,0.1855073798120647,enriched_interpretable | rf,False,1.0,0.9347058823529412,0.0076626600753526,0.1532793539305184,False
primary,uptake(mmol/g) CO2 at 0.015 bar,17,10000,geometry_plus_topology | rf,0.1790462567316149,geometry_plus_topology | hgb,False,1.0,0.9729411764705884,0.0045774082296568,0.0915637871468219,False
primary,uptake(mmol/g) CO2 at 0.015 bar,17,20000,geometry_plus_topology | rf,0.1729119968175469,geometry_plus_topology | hgb,False,1.0,0.981764705882353,0.0033427229231762,0.0668658670741833,False
primary,uptake(mmol/g) CO2 at 0.015 bar,17,40000,geometry_plus_topology | rf,0.1653678378876284,geometry_plus_topology | hgb,False,1.0,0.9864705882352942,0.000966822054151,0.0193397408169942,False
primary,uptake(mmol/g) CO2 at 0.015 bar,17,210995,geometry_plus_topology | rf,0.1476946553869543,geometry_plus_topology | hgb,False,1.0,0.993529411764706,0.0008893469396707,0.0177899741072013,False
primary,uptake(mmol/g) CO2 at 0.15 bar,17,500,geometry_plus_topology | rf,0.6346864734686536,geometry_plus_topology | hgb,False,0.6,0.8367647058823529,0.0235501360220087,0.4710830963310344,False
primary,uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | rf,0.6085050438051116,geometry_plus_topology | hgb,False,0.8,0.9305882352941176,0.0132602526730856,0.265250310296774,False
primary,uptake(mmol/g) CO2 at 0.15 bar,17,2000,geometry_plus_topology | rf,0.5914317035058202,geometry_plus_topology | hgb,False,0.9,0.956470588235294,0.012146123185167,0.2429639180486829,False
primary,uptake(mmol/g) CO2 at 0.15 bar,17,5000,geometry_plus_topology | hgb,0.5658450796395558,geometry_plus_topology | rf,True,0.8,0.9658823529411764,0.0096606978878079,0.1932469294213044,True
primary,uptake(mmol/g) CO2 at 0.15 bar,17,10000,geometry_plus_topology | hgb,0.5421975316706397,geometry_plus_topology | rf,True,1.0,0.9691176470588236,0.0056169063697368,0.1123572977236433,True
primary,uptake(mmol/g) CO2 at 0.15 bar,17,20000,geometry_plus_topology | rf,0.5223907905199602,geometry_plus_topology | hgb,True,0.9,0.9791176470588236,0.0059564050726798,0.1191484304811491,True
primary,uptake(mmol/g) CO2 at 0.15 bar,17,40000,geometry_plus_topology | rf,0.4963574195870922,geometry_plus_topology | hgb,False,1.0,0.9841176470588234,0.0063761908676207,0.1275455790959906,False
primary,uptake(mmol/g) CO2 at 0.15 bar,17,210995,geometry_plus_topology | rf,0.4432913592101097,geometry_plus_topology | hgb,False,1.0,0.996470588235294,0.0015110705096467,0.0302265674301681,False
primary,uptake(mmol/g) methane at 5.8 bar,17,500,geometry_plus_topology | rf,0.8993411955714137,geometry_plus_topology | hgb,False,1.0,0.8688235294117647,0.0302192423793232,0.6044879849324691,False
primary,uptake(mmol/g) methane at 5.8 bar,17,1000,geometry_plus_topology | rf,0.8555144582656965,geometry_plus_topology | hgb,True,0.6,0.8670588235294117,0.0104302408338832,0.2086404147692484,False
primary,uptake(mmol/g) methane at 5.8 bar,17,2000,geometry_plus_topology | mlp,0.8013025884565312,geometry_plus_topology | hgb,True,0.8,0.9229411764705882,0.001168830868974,0.023380606563334,True
primary,uptake(mmol/g) methane at 5.8 bar,17,5000,geometry_plus_topology | hgb,0.7620268970542623,geometry_plus_topology | rf,False,1.0,0.9499999999999998,0.0079155965432419,0.1583389465526989,False
primary,uptake(mmol/g) methane at 5.8 bar,17,10000,geometry_plus_topology | hgb,0.7359635509153714,geometry_plus_topology | rf,True,1.0,0.9576470588235296,0.004823687103878,0.0964902051734779,True
primary,uptake(mmol/g) methane at 5.8 bar,17,20000,geometry_plus_topology | rf,0.7062401239807495,geometry_plus_topology | hgb,False,1.0,0.9735294117647058,0.0039354801104647,0.0787230338820278,False
primary,uptake(mmol/g) methane at 5.8 bar,17,40000,geometry_plus_topology | rf,0.6822155422998086,geometry_plus_topology | mlp,False,1.0,0.9776470588235296,0.0038710049769207,0.0774333111594958,False
primary,uptake(mmol/g) methane at 5.8 bar,17,210995,geometry_plus_topology | rf,0.6378796846603018,geometry_plus_topology | mlp,False,1.0,0.9994117647058824,0.0018265596630705,0.0365374272534346,False
primary,uptake(mmol/g) methane at 65 bar,17,500,geometry_plus_topology | rf,1.4427483826833372,enriched_interpretable | rf,True,0.8,0.8352941176470587,0.0213534202086424,0.4271412827401145,False
primary,uptake(mmol/g) methane at 65 bar,17,1000,geometry_plus_topology | rf,1.3184218459197037,geometry_plus_topology | hgb,True,0.6,0.9200000000000002,0.0163094951705184,0.3262455672164114,False
primary,uptake(mmol/g) methane at 65 bar,17,2000,geometry_plus_topology | hgb,1.2163268995885197,geometry_plus_topology | rf,True,0.4,0.898235294117647,0.0101379877299014,0.2027943552387456,False
primary,uptake(mmol/g) methane at 65 bar,17,5000,geometry_plus_topology | hgb,1.1057553360091483,geometry_plus_topology | rf,False,1.0,0.9011764705882352,0.0043436696437698,0.0868882176864667,False
primary,uptake(mmol/g) methane at 65 bar,17,10000,geometry_plus_topology | mlp,1.0488045088105435,geometry_plus_topology | rf,True,0.8,0.941764705882353,0.0054533721690549,0.109086055572803,True
