top1_cut,rank_cut,topk_sd_cut,enrich_sd_cut,first_pass_n
0.7,0.85,0.01,0.1,
0.7,0.85,0.01,0.2,5000.0
0.7,0.85,0.01,0.3,5000.0
0.7,0.85,0.02,0.1,
0.7,0.85,0.02,0.2,5000.0
0.7,0.85,0.02,0.3,5000.0
0.7,0.85,0.05,0.1,
0.7,0.85,0.05,0.2,5000.0
0.7,0.85,0.05,0.3,5000.0
0.7,0.9,0.01,0.1,
0.7,0.9,0.01,0.2,5000.0
0.7,0.9,0.01,0.3,5000.0
0.7,0.9,0.02,0.1,
0.7,0.9,0.02,0.2,5000.0
0.7,0.9,0.02,0.3,5000.0
0.7,0.9,0.05,0.1,
0.7,0.9,0.05,0.2,5000.0
0.7,0.9,0.05,0.3,5000.0
0.7,0.95,0.01,0.1,
0.7,0.95,0.01,0.2,5000.0
0.7,0.95,0.01,0.3,5000.0
0.7,0.95,0.02,0.1,
0.7,0.95,0.02,0.2,5000.0
0.7,0.95,0.02,0.3,5000.0
0.7,0.95,0.05,0.1,
0.7,0.95,0.05,0.2,5000.0
0.7,0.95,0.05,0.3,5000.0
0.8,0.85,0.01,0.1,
0.8,0.85,0.01,0.2,5000.0
0.8,0.85,0.01,0.3,5000.0
0.8,0.85,0.02,0.1,
0.8,0.85,0.02,0.2,5000.0
0.8,0.85,0.02,0.3,5000.0
0.8,0.85,0.05,0.1,
0.8,0.85,0.05,0.2,5000.0
0.8,0.85,0.05,0.3,5000.0
0.8,0.9,0.01,0.1,
0.8,0.9,0.01,0.2,5000.0
0.8,0.9,0.01,0.3,5000.0
0.8,0.9,0.02,0.1,
0.8,0.9,0.02,0.2,5000.0
0.8,0.9,0.02,0.3,5000.0
0.8,0.9,0.05,0.1,
0.8,0.9,0.05,0.2,5000.0
0.8,0.9,0.05,0.3,5000.0
0.8,0.95,0.01,0.1,
0.8,0.95,0.01,0.2,5000.0
0.8,0.95,0.01,0.3,5000.0
0.8,0.95,0.02,0.1,
0.8,0.95,0.02,0.2,5000.0
0.8,0.95,0.02,0.3,5000.0
0.8,0.95,0.05,0.1,
0.8,0.95,0.05,0.2,5000.0
0.8,0.95,0.05,0.3,5000.0
0.9,0.85,0.01,0.1,
0.9,0.85,0.01,0.2,10000.0
0.9,0.85,0.01,0.3,10000.0
0.9,0.85,0.02,0.1,
0.9,0.85,0.02,0.2,10000.0
0.9,0.85,0.02,0.3,10000.0
0.9,0.85,0.05,0.1,
0.9,0.85,0.05,0.2,10000.0
0.9,0.85,0.05,0.3,10000.0
0.9,0.9,0.01,0.1,
0.9,0.9,0.01,0.2,10000.0
0.9,0.9,0.01,0.3,10000.0
0.9,0.9,0.02,0.1,
0.9,0.9,0.02,0.2,10000.0
0.9,0.9,0.02,0.3,10000.0
0.9,0.9,0.05,0.1,
0.9,0.9,0.05,0.2,10000.0
0.9,0.9,0.05,0.3,10000.0
0.9,0.95,0.01,0.1,
0.9,0.95,0.01,0.2,10000.0
0.9,0.95,0.01,0.3,10000.0
0.9,0.95,0.02,0.1,
0.9,0.95,0.02,0.2,10000.0
0.9,0.95,0.02,0.3,10000.0
0.9,0.95,0.05,0.1,
0.9,0.95,0.05,0.2,10000.0
0.9,0.95,0.05,0.3,10000.0
