suite_name,target_col,test_seed,n_train,modal_winner,modal_count,n_seeds,top1_consensus,wilson_lo,wilson_hi
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
primary,uptake(mmol/g) CO2 at 0.015 bar,17,1000,geometry_plus_topology | rf,4,5,0.8,0.3755282641185388,0.9637768390302125
primary,uptake(mmol/g) CO2 at 0.015 bar,17,2000,geometry_plus_topology | rf,4,5,0.8,0.3755282641185388,0.9637768390302125
primary,uptake(mmol/g) CO2 at 0.015 bar,17,5000,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
primary,uptake(mmol/g) CO2 at 0.015 bar,17,10000,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
primary,uptake(mmol/g) CO2 at 0.015 bar,17,20000,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
primary,uptake(mmol/g) CO2 at 0.015 bar,17,40000,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
primary,uptake(mmol/g) CO2 at 0.015 bar,17,210995,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
primary,uptake(mmol/g) CO2 at 0.15 bar,17,500,geometry_plus_topology | rf,6,10,0.6,0.3126695474501864,0.8318224187964902
primary,uptake(mmol/g) CO2 at 0.15 bar,17,1000,geometry_plus_topology | rf,8,10,0.8,0.49015684672072335,0.9433190520193067
primary,uptake(mmol/g) CO2 at 0.15 bar,17,2000,geometry_plus_topology | rf,9,10,0.9,0.5958436145024278,0.9821242504842788
primary,uptake(mmol/g) CO2 at 0.15 bar,17,5000,geometry_plus_topology | hgb,8,10,0.8,0.49015684672072335,0.9433190520193067
primary,uptake(mmol/g) CO2 at 0.15 bar,17,10000,geometry_plus_topology | hgb,10,10,1.0,0.7224598312333834,1.0
primary,uptake(mmol/g) CO2 at 0.15 bar,17,20000,geometry_plus_topology | rf,9,10,0.9,0.5958436145024278,0.9821242504842788
primary,uptake(mmol/g) CO2 at 0.15 bar,17,40000,geometry_plus_topology | rf,10,10,1.0,0.7224598312333834,1.0
primary,uptake(mmol/g) CO2 at 0.15 bar,17,210995,geometry_plus_topology | rf,10,10,1.0,0.7224598312333834,1.0
primary,uptake(mmol/g) methane at 5.8 bar,17,500,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
primary,uptake(mmol/g) methane at 5.8 bar,17,1000,geometry_plus_topology | rf,3,5,0.6,0.23071993220883708,0.8823817688407467
primary,uptake(mmol/g) methane at 5.8 bar,17,2000,geometry_plus_topology | mlp,4,5,0.8,0.3755282641185388,0.9637768390302125
primary,uptake(mmol/g) methane at 5.8 bar,17,5000,geometry_plus_topology | hgb,5,5,1.0,0.5655085052479191,1.0
primary,uptake(mmol/g) methane at 5.8 bar,17,10000,geometry_plus_topology | hgb,5,5,1.0,0.5655085052479191,1.0
primary,uptake(mmol/g) methane at 5.8 bar,17,20000,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
primary,uptake(mmol/g) methane at 5.8 bar,17,40000,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
primary,uptake(mmol/g) methane at 5.8 bar,17,210995,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
primary,uptake(mmol/g) methane at 65 bar,17,500,geometry_plus_topology | rf,4,5,0.8,0.3755282641185388,0.9637768390302125
primary,uptake(mmol/g) methane at 65 bar,17,1000,geometry_plus_topology | mlp,3,5,0.6,0.23071993220883708,0.8823817688407467
primary,uptake(mmol/g) methane at 65 bar,17,2000,geometry_plus_topology | hgb,2,5,0.4,0.1176182311592533,0.769280067791163
primary,uptake(mmol/g) methane at 65 bar,17,5000,geometry_plus_topology | hgb,5,5,1.0,0.5655085052479191,1.0
primary,uptake(mmol/g) methane at 65 bar,17,10000,geometry_plus_topology | mlp,4,5,0.8,0.3755282641185388,0.9637768390302125
primary,uptake(mmol/g) methane at 65 bar,17,20000,geometry_plus_topology | mlp,5,5,1.0,0.5655085052479191,1.0
primary,uptake(mmol/g) methane at 65 bar,17,40000,geometry_plus_topology | mlp,4,5,0.8,0.3755282641185388,0.9637768390302125
primary,uptake(mmol/g) methane at 65 bar,17,210995,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,500,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,1000,geometry_plus_topology | rf,4,5,0.8,0.3755282641185388,0.9637768390302125
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,2000,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,5000,geometry_plus_topology | hgb,3,5,0.6,0.23071993220883708,0.8823817688407467
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,10000,geometry_plus_topology | hgb,5,5,1.0,0.5655085052479191,1.0
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,20000,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,40000,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,210995,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,47,500,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,47,1000,geometry_plus_topology | rf,4,5,0.8,0.3755282641185388,0.9637768390302125
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,47,2000,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,47,5000,geometry_plus_topology | hgb,4,5,0.8,0.3755282641185388,0.9637768390302125
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,47,10000,geometry_plus_topology | hgb,5,5,1.0,0.5655085052479191,1.0
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,47,20000,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,47,40000,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,47,210995,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,71,500,geometry_plus_topology | rf,5,5,1.0,0.5655085052479191,1.0
