target_col,test_seed,subsample_seed,n_train,descriptor_family,model_name,feature,importance_mean,importance_std
uptake(mmol/g) CO2 at 0.15 bar,17,0,500,geometry_plus_topology,rf,UC_volume,0.003557881761069426,0.000301365402574977
uptake(mmol/g) CO2 at 0.15 bar,17,0,500,geometry_plus_topology,rf,Density,0.03436667096599823,0.00048113010733816274
uptake(mmol/g) CO2 at 0.15 bar,17,0,500,geometry_plus_topology,rf,ASA,-0.005910272778842008,0.00021053450536645435
uptake(mmol/g) CO2 at 0.15 bar,17,0,500,geometry_plus_topology,rf,vASA,-0.0012068117957610204,0.0002494999811502658
uptake(mmol/g) CO2 at 0.15 bar,17,0,500,geometry_plus_topology,rf,NASA,0.0032594877772925356,9.908833374121134e-05
uptake(mmol/g) CO2 at 0.15 bar,17,0,500,geometry_plus_topology,rf,AVA,0.0044814007487938515,0.00012819142357193373
uptake(mmol/g) CO2 at 0.15 bar,17,0,500,geometry_plus_topology,rf,AVAf,0.16254510586227106,0.0013893144151737812
uptake(mmol/g) CO2 at 0.15 bar,17,0,500,geometry_plus_topology,rf,POAVA,-0.003375148011802853,0.0001653195867003225
uptake(mmol/g) CO2 at 0.15 bar,17,0,500,geometry_plus_topology,rf,Df,0.002426861935446711,0.00016827189980485555
uptake(mmol/g) CO2 at 0.15 bar,17,0,500,geometry_plus_topology,rf,Di,-0.0012750214142760452,7.849013997773482e-05
uptake(mmol/g) CO2 at 0.15 bar,17,0,500,geometry_plus_topology,rf,Dif,0.0014698011955674105,0.00012077630168504414
uptake(mmol/g) CO2 at 0.15 bar,17,0,500,geometry_plus_topology,rf,lcd_pld_ratio,-0.0015383659813886451,0.0001646323255798055
uptake(mmol/g) CO2 at 0.15 bar,17,0,500,geometry_plus_topology,rf,cavity_window_gap,0.0007626360841708757,0.00023294920961692281
uptake(mmol/g) CO2 at 0.15 bar,17,0,500,geometry_plus_topology,rf,sa_pv_ratio,0.014094204185623826,0.00039591918279777296
uptake(mmol/g) CO2 at 0.15 bar,17,0,500,geometry_plus_topology,rf,vf_density_ratio,0.1142654109055627,0.0009868133243299993
