suite_name,target_col,test_seed,n_train,top1_consensus_probability,mean_rank_spearman_vs_full,p_rank1__geometry_plus_topology_rf,p_rank1__geometry_only_mlp,p_rank1__geometry_plus_topology_mlp,p_rank1__geometry_plus_topology_hgb,p_rank1__enriched_interpretable_mlp
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,1.0,0.8047058823529412,1.0,,,,
primary,uptake(mmol/g) CO2 at 0.015 bar,17,1000,0.8,0.7317647058823529,0.8,0.2,,,
primary,uptake(mmol/g) CO2 at 0.015 bar,17,2000,0.8,0.8411764705882353,0.8,,0.2,,
primary,uptake(mmol/g) CO2 at 0.015 bar,17,5000,1.0,0.9347058823529413,1.0,,,,
primary,uptake(mmol/g) CO2 at 0.015 bar,17,10000,1.0,0.9729411764705883,1.0,,,,
primary,uptake(mmol/g) CO2 at 0.015 bar,17,20000,1.0,0.981764705882353,1.0,,,,
primary,uptake(mmol/g) CO2 at 0.015 bar,17,40000,1.0,0.9864705882352942,1.0,,,,
primary,uptake(mmol/g) CO2 at 0.015 bar,17,210995,1.0,0.9935294117647059,1.0,,,,
primary,uptake(mmol/g) CO2 at 0.15 bar,17,500,0.6,0.8367647058823529,0.6,,0.4,,
primary,uptake(mmol/g) CO2 at 0.15 bar,17,1000,0.8,0.9305882352941175,0.8,,0.2,,
primary,uptake(mmol/g) CO2 at 0.15 bar,17,2000,0.9,0.9564705882352941,0.9,,,0.1,
primary,uptake(mmol/g) CO2 at 0.15 bar,17,5000,0.8,0.9658823529411764,0.2,,,0.8,
primary,uptake(mmol/g) CO2 at 0.15 bar,17,10000,1.0,0.9691176470588235,,,,1.0,
primary,uptake(mmol/g) CO2 at 0.15 bar,17,20000,0.9,0.9791176470588235,0.9,,,0.1,
primary,uptake(mmol/g) CO2 at 0.15 bar,17,40000,1.0,0.9841176470588234,1.0,,,,
primary,uptake(mmol/g) CO2 at 0.15 bar,17,210995,1.0,0.9964705882352941,1.0,,,,
primary,uptake(mmol/g) methane at 5.8 bar,17,500,1.0,0.8688235294117647,1.0,,,,
primary,uptake(mmol/g) methane at 5.8 bar,17,1000,0.6,0.8670588235294117,0.6,,0.4,,
primary,uptake(mmol/g) methane at 5.8 bar,17,2000,0.8,0.9229411764705882,,,0.8,0.2,
primary,uptake(mmol/g) methane at 5.8 bar,17,5000,1.0,0.9499999999999998,,,,1.0,
primary,uptake(mmol/g) methane at 5.8 bar,17,10000,1.0,0.9576470588235295,,,,1.0,
primary,uptake(mmol/g) methane at 5.8 bar,17,20000,1.0,0.9735294117647058,1.0,,,,
primary,uptake(mmol/g) methane at 5.8 bar,17,40000,1.0,0.9776470588235295,1.0,,,,
primary,uptake(mmol/g) methane at 5.8 bar,17,210995,1.0,0.9994117647058823,1.0,,,,
primary,uptake(mmol/g) methane at 65 bar,17,500,0.8,0.8352941176470587,0.8,,,,0.2
primary,uptake(mmol/g) methane at 65 bar,17,1000,0.6,0.9200000000000002,0.2,,0.6,0.2,
primary,uptake(mmol/g) methane at 65 bar,17,2000,0.4,0.898235294117647,0.2,,0.4,0.4,
primary,uptake(mmol/g) methane at 65 bar,17,5000,1.0,0.9011764705882352,,,,1.0,
primary,uptake(mmol/g) methane at 65 bar,17,10000,0.8,0.941764705882353,,,0.8,0.2,
primary,uptake(mmol/g) methane at 65 bar,17,20000,1.0,0.9623529411764705,,,1.0,,
primary,uptake(mmol/g) methane at 65 bar,17,40000,0.8,0.9805882352941175,0.2,,0.8,,
primary,uptake(mmol/g) methane at 65 bar,17,210995,1.0,0.9947058823529412,1.0,,,,
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,500,1.0,0.8488235294117648,1.0,,,,
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,1000,0.8,0.9241176470588235,0.8,,0.2,,
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,2000,1.0,0.9635294117647059,1.0,,,,
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,5000,0.6,0.9741176470588236,0.4,,,0.6,
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,10000,1.0,0.968235294117647,,,,1.0,
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,20000,1.0,0.978235294117647,1.0,,,,
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,40000,1.0,0.9864705882352942,1.0,,,,
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,29,210995,1.0,0.9964705882352941,1.0,,,,
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,47,500,1.0,0.7741176470588236,1.0,,,,
robustness_alt_test,uptake(mmol/g) CO2 at 0.15 bar,47,1000,0.8,0.8523529411764705,0.8,,0.2,,
