suite_name,target_col,test_seed,n_train,method_label,descriptor_family,model_name,n_repeats,topk_overlap_frac_0p050_mean,topk_overlap_frac_0p050_std,topk_overlap_k50_mean,topk_overlap_k50_std,topk_overlap_k100_mean,topk_overlap_k100_std,topk_overlap_k250_mean,topk_overlap_k250_std,topk_overlap_k500_mean,topk_overlap_k500_std,elite_enrichment_0p050_mean,elite_enrichment_0p050_std,elite_enrichment_k50_mean,elite_enrichment_k50_std,elite_enrichment_k100_mean,elite_enrichment_k100_std,elite_enrichment_k250_mean,elite_enrichment_k250_std,elite_enrichment_k500_mean,elite_enrichment_k500_std
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,enriched_interpretable | hgb,enriched_interpretable,hgb,5,0.40879787637466813,0.014845338741800072,0.052000000000000005,0.030331501776206204,0.064,0.04722287581247038,0.12400000000000003,0.05099019513592785,0.17439999999999997,0.01711139970896595,8.177352742088498,0.29695744152112735,54.85896,31.999127743862022,33.75936,24.90959476232,26.163504,10.758727212900233,18.398851200000003,1.8052184464964913
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,enriched_interpretable | mlp,enriched_interpretable,mlp,5,0.38194918467956007,0.06779876608102477,0.052000000000000005,0.017888543819998316,0.088,0.0396232255123179,0.1056,0.04313699108653731,0.1432,0.019370080020485198,7.640287274426285,1.3562067167265737,54.85896,18.872055959221825,46.41912000000001,20.900855225492567,22.281177600000003,9.10173257129503,15.107313600000001,2.043504702001147
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,enriched_interpretable | rf,enriched_interpretable,rf,5,0.4081152825180129,0.012239430266228103,0.044000000000000004,0.04560701700396552,0.08399999999999999,0.04722287581247038,0.11039999999999998,0.05348644688142969,0.1716,0.033418557718728675,8.163698535283526,0.24483037812410566,46.41912,48.11449079884354,44.30916,24.909594762319998,23.2939584,11.28542634619414,18.103456800000004,3.5255910022104384
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,enriched_interpretable | ridge,enriched_interpretable,ridge,5,0.3794463405384907,0.034836155246690495,0.048,0.02280350850198276,0.08,0.04,0.08720000000000001,0.02931211353689802,0.124,0.007483314773547886,7.590221849474725,0.6968419996616143,50.63904,24.05724539942177,42.199200000000005,21.0996,18.398851200000003,6.184738707831335,13.081752,0.789474741979755
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,geometry_only | hgb,geometry_only,hgb,5,0.3878649981039059,0.028030658009394305,0.02,0.02449489742783178,0.032,0.02863564212655271,0.0816,0.04396362132490908,0.13879999999999998,0.04881802945633918,7.758623733402706,0.5607088279626622,21.0996,25.841626888413973,16.87968,15.105014865335288,17.217273600000002,9.276148245070516,14.643122400000001,5.150204471584872
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,geometry_only | mlp,geometry_only,mlp,5,0.3653394008342814,0.05429361920825458,0.012,0.01788854381999832,0.024,0.01816590212458495,0.0496,0.03447897910321592,0.09759999999999999,0.04862920932937322,7.308034908838645,1.0860576866197276,12.65976,18.872055959221825,12.659759999999999,9.582331711697314,10.465401600000002,7.274926674862147,10.2966048,5.130284325830217
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,geometry_only | rf,geometry_only,rf,5,0.41069397042093286,0.028175983046917152,0.048,0.0363318042491699,0.05600000000000001,0.04277849927241487,0.0928,0.032912003889158735,0.1464,0.025115732121520958,8.215281094324531,0.5636158247030085,50.63904,38.32932684678926,29.539440000000003,22.565230581206123,19.580428800000004,6.944301172596938,15.4449072,2.649659507356218
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,geometry_only | ridge,geometry_only,ridge,5,0.37368221463784596,0.014093987309443626,0.012,0.010954451150103323,0.046000000000000006,0.01341640786499874,0.0744,0.0035777087639996606,0.11679999999999999,0.005019960159204451,7.4749196586771856,0.28192784853463854,12.65976,11.556726874336002,24.26454,7.077020984708186,15.698102400000002,0.7548822383688728,12.322166400000002,0.5295957568757514
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,geometry_plus_topology | hgb,geometry_plus_topology,hgb,5,0.429427379598028,0.010684283851534816,0.036000000000000004,0.01673320053068151,0.054000000000000006,0.03911521443121589,0.1024,0.0487934421823261,0.16160000000000002,0.037239763694201934,8.590013214416526,0.21372214216329535,37.979279999999996,17.65319189585838,28.484460000000002,20.632884460322067,21.605990400000003,10.295221126702076,17.048476800000003,3.928720590210916
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,geometry_plus_topology | mlp,geometry_plus_topology,mlp,5,0.4248767538869928,0.04592823563869133,0.04,0.03162277660168379,0.084,0.04979959839195493,0.0928,0.03254535297089279,0.1312,0.03384080377296024,8.49898516905005,0.9187214644312963,42.1992,33.361396859244365,44.309160000000006,26.2687901557723,19.580428800000004,6.866939295446496,13.8413376,3.57013711643976
primary,uptake(mmol/g) CO2 at 0.015 bar,17,500,geometry_plus_topology | rf,geometry_plus_topology,rf,5,0.4443686006825939,0.02117420101506611,0.055999999999999994,0.07266360849833979,0.1,0.06480740698407861,0.11679999999999999,0.05792408825350641,0.18119999999999997,0.038590154184714,8.888888630036458,0.42355628719898475,59.078880000000005,76.65865369357851,52.749,34.185259110031616,24.644332800000004,12.22175092513684,19.1162376,4.071184086178959
